"Points:0","Points:1","Points:2","forces:0","forces:1","forces:2","radii","GlyphVector:0","GlyphVector:1","GlyphVector:2","Normals:0","Normals:1","Normals:2"
137.17,11.412,2.6154,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.97464,-0.080951,0.20862
137.72,11.458,3.8063,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.78793,-0.065181,0.6123
138.73,11.543,4.6394,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.44517,-0.0365,0.8947
139.1,12.479,-0.671,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.31833,0.28085,-0.90542
138.31,13.142,0.13672,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.58784,0.50547,-0.63162
137.86,13.509,1.3135,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.74092,0.62999,-0.23272
137.84,13.508,2.6262,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.74725,0.62973,0.21228
138.25,13.139,3.8149,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.60558,0.50474,0.61523
139.03,12.476,4.6442,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.34397,0.27978,0.89633
139.97,12.928,-0.65834,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.023146,0.43292,-0.90113
139.88,13.95,0.15953,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.055939,0.77951,-0.62389
139.81,14.517,1.3419,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.077653,0.9717,-0.22307
139.79,14.516,2.6547,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.083986,0.97144,0.22192
139.82,13.948,3.8377,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.073685,0.77877,0.62296
139.9,12.924,4.6568,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.04879,0.43186,0.90062
140.91,12.629,-0.64524,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.2931,0.33171,-0.89669
141.56,13.412,0.18314,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.51392,0.59713,-0.61589
141.91,13.846,1.3714,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.63295,0.74428,-0.2131
141.89,13.845,2.6841,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.62662,0.74402,0.2319
141.51,13.41,3.8614,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.49618,0.5964,0.63097
140.83,12.626,4.6699,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.26746,0.33065,0.90506
9.7059,3.0443,-0.88606,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.2046,0.031972,-0.97832
8.4988,2.8557,4.8861,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,-0.2046,-0.031972,0.97832
10.838,3.4212,-0.33837,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.58835,0.15974,-0.79267
11.626,3.7048,0.67246,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.85558,0.25588,-0.45001
11.915,3.8389,1.9462,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.95335,0.30133,-0.018229
11.646,3.7969,3.2306,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.86229,0.2871,0.41717
10.874,3.5872,4.2713,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.60045,0.21601,0.76994
9.7504,3.2513,4.8621,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.21968,0.10213,0.97021
10.762,2.4457,-0.38613,-0.00011315,-0.0018868,0,2.95,9.1024,2.95,2,0.56261,-0.17094,-0.80886
